Code ECTS;Date;Promo;Matière;Enseignant;Horaire;Duree;†salle
1ADS;jeudi 3 dÈcembre 2015;1;Algorithmic in Python† Part 2/2;PERRIER;16:00;2;
1CNA;vendredi 4 dÈcembre 2015;1;CCNA Exploration - Modules 1† & 2 Part 2/2;LLEDO;09:00;2;
1CNA;vendredi 4 dÈcembre 2015;1;CCNA Exploration - Modules 1† & 2 Part 2/2;LLEDO;11:00;2;
1CNA;vendredi 4 dÈcembre 2015;1;CCNA Exploration - Modules 1† & 2 Part 2/2;LLEDO;14:00;2;
1CNA;vendredi 4 dÈcembre 2015;1;CCNA Exploration - Modules 1† & 2 Part 2/2;LLEDO;16:00;2;
1CNA;jeudi 10 dÈcembre 2015;1;CCNA Exploration - Modules 1† & 2 Part 2/2;LLEDO;09:00;2;
1CNA;jeudi 10 dÈcembre 2015;1;CCNA Exploration - Modules 1† & 2 Part 2/2;LLEDO;11:00;2;
1LAL;jeudi 10 dÈcembre 2015;1;Linear Algebra;LONGO;14:00;2;
1LAL;jeudi 10 dÈcembre 2015;1;Linear Algebra;LONGO;16:00;2;
1LAL;vendredi 11 dÈcembre 2015;1;Linear Algebra;LONGO;09:00;2;
1LAL;vendredi 11 dÈcembre 2015;1;Linear Algebra;LONGO;11:00;2;
1LAL;vendredi 11 dÈcembre 2015;1;Linear Algebra;LONGO;14:00;2;
1LAL;vendredi 11 dÈcembre 2015;1;Linear Algebra;LONGO;16:00;2;
1LAL;lundi 14 dÈcembre 2015;1;Linear Algebra;LONGO;09:00;2;
1LAL;lundi 14 dÈcembre 2015;1;Linear Algebra;LONGO;11:00;2;
1LAL;mardi 15 dÈcembre 2015;1;Linear Algebra;LONGO;09:00;2;
1LAL;mardi 15 dÈcembre 2015;1;Linear Algebra;LONGO;11:00;2;
1SET;mardi 15 dÈcembre 2015;1;Set Theory TP (Duree 4H);CAMPUS;14:00;2;
1SET;mardi 15 dÈcembre 2015;1;Set Theory TP (Duree 4H);CAMPUS;16:00;2;
1CNA;mercredi 16 dÈcembre 2015;1;CCNA Exploration - Modules 1† & 2 Part 2/2;LLEDO;09:00;2;
1CNA;mercredi 16 dÈcembre 2015;1;CCNA Exploration - Modules 1† & 2 Part 2/2;LLEDO;11:00;2;
1CNA;mercredi 16 dÈcembre 2015;1;CCNA Exploration - Modules 1† & 2 Part 2/2;LLEDO;14:00;2;
1CNA;mercredi 16 dÈcembre 2015;1;CCNA Exploration - Modules 1† & 2 Part 2/2;LLEDO;16:00;2;
1LAL;jeudi 17 dÈcembre 2015;1;Linerar Algebra SOE (Duree 10') (selon planning regional);LONGO;09:00;2;
1LAL;jeudi 17 dÈcembre 2015;1;Linerar Algebra SOE (Duree 10') (selon planning regional);LONGO;11:00;2;
1CNA;jeudi 17 dÈcembre 2015;1;CCNA Exploration - Module 1† QCM† (Duree 2H);CAMPUS;14:00;2;
1CNA;jeudi 17 dÈcembre 2015;1;CCNA Exploration - Module 1† QCM† (Duree 2H);CAMPUS;16:00;2;
1CNA;vendredi 18 dÈcembre 2015;1;CCNA Exploration - Modules 1† & 2 Part 2/2;LLEDO;09:00;2;
1CNA;vendredi 18 dÈcembre 2015;1;CCNA Exploration - Modules 1† & 2 Part 2/2;LLEDO;11:00;2;
1CNA;vendredi 18 dÈcembre 2015;1;CCNA Exploration - Modules 1† & 2 Part 2/2;LLEDO;14:00;2;
1CNA;vendredi 18 dÈcembre 2015;1;CCNA Exploration - Modules 1† & 2 Part 2/2;LLEDO;16:00;2;
1CPA;lundi 4 janvier 2016;1;Computer Architecture;PERRIER;09:00;2;
1CPA;lundi 4 janvier 2016;1;Computer Architecture;PERRIER;11:00;2;
1CPA;lundi 4 janvier 2016;1;Computer Architecture;PERRIER;14:00;2;
1CPA;lundi 4 janvier 2016;1;Computer Architecture;PERRIER;16:00;2;
1GCC;lundi 4 janvier 2016;1;C Language;ONLINE;18:00;2;
1CPA;mardi 5 janvier 2016;1;Computer Architecture;PERRIER;09:00;2;
1CPA;mardi 5 janvier 2016;1;Computer Architecture;PERRIER;11:00;2;
1CPA;mardi 5 janvier 2016;1;Computer Architecture;PERRIER;14:00;2;
1CPA;mardi 5 janvier 2016;1;Computer Architecture;PERRIER;16:00;2;
1GCC;mardi 5 janvier 2016;1;C Language;ONLINE;18:00;2;
1CPA;jeudi 7 janvier 2016;1;Computer Architecture;PERRIER;09:00;2;
1CPA;jeudi 7 janvier 2016;1;Computer Architecture;PERRIER;11:00;2;
1CPA;jeudi 7 janvier 2016;1;Computer Architecture;PERRIER;14:00;2;
1CPA;jeudi 7 janvier 2016;1;Computer Architecture;PERRIER;16:00;2;
1GCC;jeudi 7 janvier 2016;1;C Language;ONLINE;18:00;2;
1MER;mardi 12 janvier 2016;1;Merise modeling for databases;PONS;09:00;2;
1MER;mardi 12 janvier 2016;1;Merise modeling for databases;PONS;11:00;2;
1MER;mardi 12 janvier 2016;1;Merise modeling for databases;PONS;14:00;2;
1MER;mardi 12 janvier 2016;1;Merise modeling for databases;PONS;16:00;2;
1MER;jeudi 14 janvier 2016;1;Merise modeling for databases;PONS;09:00;2;
1MER;jeudi 14 janvier 2016;1;Merise modeling for databases;PONS;11:00;2;
1MER;jeudi 14 janvier 2016;1;Merise modeling for databases;PONS;14:00;2;
1MER;jeudi 14 janvier 2016;1;Merise modeling for databases;PONS;16:00;2;
1MGT;vendredi 15 janvier 2016;1;IT Management 1 ñ Company, SI, IT jobs and responsibilities;PLANCHON;09:00;2;
1MGT;vendredi 15 janvier 2016;1;IT Management 1 ñ Company, SI, IT jobs and responsibilities;PLANCHON;11:00;2;
1MGT;vendredi 15 janvier 2016;1;IT Management 1 ñ Company, SI, IT jobs and responsibilities;PLANCHON;14:00;2;
1MGT;vendredi 15 janvier 2016;1;IT Management 1 ñ Company, SI, IT jobs and responsibilities;PLANCHON;16:00;2;
1MGT;lundi 18 janvier 2016;1;IT Management 1 ñ Company, SI, IT jobs and responsibilities;PLANCHON;09:00;2;
1MGT;lundi 18 janvier 2016;1;IT Management 1 ñ Company, SI, IT jobs and responsibilities;PLANCHON;11:00;2;
1MGT;lundi 18 janvier 2016;1;IT Management 1 ñ Company, SI, IT jobs and responsibilities;PLANCHON;14:00;2;
1MGT;lundi 18 janvier 2016;1;IT Management 1 ñ Company, SI, IT jobs and responsibilities;PLANCHON;16:00;2;
1MGT;mardi 19 janvier 2016;1;IT Management 1 ñ Company, SI, IT jobs and responsibilities;PLANCHON;09:00;2;
1MGT;mardi 19 janvier 2016;1;IT Management 1 ñ Company, SI, IT jobs and responsibilities;PLANCHON;11:00;2;
1GCC;jeudi 21 janvier 2016;1;C Language;GALLERON;09:00;2;
1GCC;jeudi 21 janvier 2016;1;C Language;GALLERON;11:00;2;
1GCC;jeudi 21 janvier 2016;1;C Language;GALLERON;14:00;2;
1GCC;jeudi 21 janvier 2016;1;C Language;GALLERON;16:00;2;
1GCC;vendredi 22 janvier 2016;1;C Language;GALLERON;09:00;2;
1GCC;vendredi 22 janvier 2016;1;C Language;GALLERON;11:00;2;
1GCC;vendredi 22 janvier 2016;1;C Language;GALLERON;14:00;2;
1GCC;vendredi 22 janvier 2016;1;C Language;GALLERON;16:00;2;
1ADS;lundi 25 janvier 2016;1;Algorithmic in Python Soutenance† Mini Projet (2 etudiants - Duree 20')(Selon planning regional);PERRIER;09:00;2;
1ADS;lundi 25 janvier 2016;1;Algorithmic in Python Soutenance† Mini Projet (2 etudiants - Duree 20')(Selon planning regional);PERRIER;11:00;2;
1ADS;mardi 26 janvier 2016;1;Algorithmic in Python Soutenance† Mini Projet (2 etudiants - Duree 20')(Selon planning regional);PERRIER;09:00;2;
1ADS;mardi 26 janvier 2016;1;Algorithmic in Python Soutenance† Mini Projet (2 etudiants - Duree 20')(Selon planning regional);PERRIER;11:00;2;
1LAL;mardi 26 janvier 2016;1;Linear Algebra TP (Duree 4H);CAMPUS;14:00;2;
1LAL;mardi 26 janvier 2016;1;Linear Algebra TP (Duree 4H);CAMPUS;16:00;2;
